Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
AT2021ehb,Sersic+exp,22.49±0.16,15.02±0.20,65.8,81.4,0.41±0.00,0.15±0.00,0.018,14.36±0.02,4.12±0.03,--
AT2021gje,Sersic,3.51±0.41,--,36.9,--,0.80±0.04,--,0.358,18.71±0.06,5.66±0.86,He
AT2022dsb,Sersic+exp,2.04±0.02,29.86±0.16,32.9,66.4,0.84±0.01,0.40±0.00,0.023,14.07±0.01,2.89±0.09,H+He
AT2020mot,Sersic,3.20±0.04,--,28.4,--,0.88±0.01,--,0.07,16.80±0.01,3.70±0.13,H+He
AT2022gri,Sersic+ex+ps,7.28±0.02,11.91±0.12,65.8,60.7,0.41±0.00,0.49±0.00,0.028,14.99±0.01,0.66±0.01,H+He
AT2022dbl,Sersic+exp,6.88±0.38,17.31±0.12,25.8,41.4,0.90±0.00,0.74±0.01,0.0284,15.21±0.04,4.74±0.16,H+He
AT2022rz,Sersic,6.49±2.07,--,51.7,--,0.62±0.07,--,0.107,19.17±0.15,5.65±1.64,H+He
AT2024bgz,Sersic+ex+ps,17.83±0.10,8.57±0.09,50.2,31.8,0.64±0.01,0.85±0.01,0.0585,15.52±0.04,0.27±0.01,H+He
AT2024eqp,Sersic,6.56±1.24,--,32.9,--,0.84±0.05,--,0.33,19.07±0.09,5.94±0.95,--
AT2022aee,Sersic,7.07±1.12,--,32.9,--,0.84±0.04,--,0.124,18.00±0.08,4.77±0.73,H
AT2021qth,Sersic,4.11±0.27,--,41.4,--,0.75±0.02,--,0.0805,18.49±0.04,3.43±0.29,H+He
AT2021ack,Sersic,5.61±0.54,--,40.5,--,0.76±0.03,--,0.133,17.92±0.06,2.99±0.37,H+He
AT2020acka,Sersic,1.65±0.20,--,40.5,--,0.76±0.10,--,0.338,19.45±0.07,5.15±1.81,--
AT2020ddv,Sersic,6.80±1.36,--,53.1,--,0.60±0.04,--,0.16,18.74±0.09,5.92±1.07,He
AT2019meg,Sersic,1.33±0.14,--,32.9,--,0.84±0.08,--,0.152,19.47±0.04,3.69±1.23,H
AT2020vdq,Sersic,2.09±0.06,--,61.3,--,0.48±0.02,--,0.044,18.01±0.02,6.76±0.59,H+He
AT2024lhc,Sersic,8.56±0.47,--,24.5,--,0.91±0.01,--,0.2045,17.25±0.03,5.80±0.22,--
